liquidityRank,symbol,name,cap,averageDollarVolume
"1","NVDA","NVIDIA Corporation Common Stock","5551676000000","28207607076.363995"
"2","MU","Micron Technology Inc. Common Stock","1148129783375","25933222621.3545"
"3","SNDK","Sandisk Corporation Common Stock","254769061740","20104857515.7985"
"4","SPCX","Space Exploration Technologies Corp. Class A Common Stock","2008098959419","13683614102.852999"
"5","TSLA","Tesla Inc. Common Stock","1398455741268","12944588168.56975"
"6","AAPL","Apple Inc. Common Stock","4669699774600","12398259695.2745"
"7","MSFT","Microsoft Corporation Common Stock","3710545081853","11728541865.457998"
"8","INTC","Intel Corporation Common Stock","506309659154","9198037391.44125"
"9","META","Meta Platforms Inc. Class A Common Stock","1571225414393","9087117119.0735"
"10","AMZN","Amazon.com Inc. Common Stock","2788369921498","8660960569.2825"
"11","AMD","Advanced Micro Devices Inc. Common Stock","779621105808","8542864229.867999"
"12","AVGO","Broadcom Inc. Common Stock","1702714164963","8501349221.205999"
"13","GOOGL","Alphabet Inc. Class A Common Stock","4139365800000","7659737154.576502"
"14","PLTR","Palantir Technologies Inc. Class A Common Stock","418749983168","6293054704.206"
"15","MRVL","Marvell Technology Inc. Common Stock","196030995000","5510355523.47"
"16","GOOG","Alphabet Inc. Class C Capital Stock","4100841300000","5210515090.976"
"17","NBIS","Nebius Group N.V. Class A Ordinary Shares","61545302803","5113328713.252001"
"18","MRNA","Moderna Inc. Common Stock","58108783644","4866016298.652501"
"19","LITE","Lumentum Holdings Inc. Common Stock","79048573500","4201626698.944501"
"20","TSM","Taiwan Semiconductor Manufacturing Company Ltd.","2224543818375","3816167863.233499"
"21","DELL","Dell Technologies Inc. Class C Common Stock ","339699322403","3788985060.8195"
"22","CRM","Salesforce Inc. Common Stock","213346290000","3744055552.543"
"23","AMAT","Applied Materials Inc. Common Stock","360856693307","3669450848.269"
"24","ORCL","Oracle Corporation Common Stock","457361185380","3342761953.592"
"25","MSTR","Strategy Inc Common Stock Class A","54867437243","3267275126.6974998"
"26","STX","Seagate Technology Holdings PLC Ordinary Shares (Ireland)","192484656247","3253537611.6955004"
"27","WDC","Western Digital Corporation Common Stock","168538469682","3158827137.9769998"
"28","LLY","Eli Lilly and Company Common Stock","1081958156228","3080390985.084"
"29","WMT","Walmart Inc. Common Stock","850021572261","3003406144.5099998"
"30","SKHY","SK hynix Inc. American Depositary Shares","1290091935000","2981421285.062751"
"31","BE","Bloom Energy Corporation Class A Common Stock","74477129983","2598481747.6550007"
"32","CRWV","CoreWeave Inc. Class A Common Stock","49285310755","2579730284.9405003"
"33","V","Visa Inc.","670158282241","2464033018.5899997"
"34","NOW","ServiceNow Inc. Common Stock","146062840000","2404861005.019"
"35","LRCX","Lam Research Corporation Common Stock","384968905650","2320835800.7790003"
"36","XOM","ExxonMobil Holdings Corporation Common Stock","655726600261","2285281888.9094996"
"37","COHR","Coherent Corp. Common Stock","55197276858","2271740745.0504994"
"38","CSCO","Cisco Systems Inc. Common Stock (DE)","430530486532","2247543019.4124994"
"39","PANW","Palo Alto Networks Inc. Common Stock","271606900000","2216407415.0689993"
"40","CRWD","CrowdStrike Holdings Inc. Class A Common Stock","218200514830","2168632924.7875"
"41","BRK.B","Berkshire Hathaway Inc.","1116459743067","2158677615.863"
"42","NFLX","Netflix Inc. Common Stock","325828279647","2156178906.8030005"
"43","HOOD","Robinhood Markets Inc. Class A Common Stock","109786936356","2128674869.8690002"
"44","ASML","ASML Holding N.V. New York Registry Shares","660945045355","2054929277.2699997"
"45","GEV","GE Vernova Inc. Common Stock","250872916623","2030134297.1379998"
"46","CAT","Caterpillar Inc. Common Stock","374147779153","2024915075.5289998"
"47","SMCI","Super Micro Computer Inc. Common Stock","26009259553","1972323086.7425003"
"48","JPM","JP Morgan Chase & Co. Common Stock","953331896975","1950715239.4905"
"49","GS","Goldman Sachs Group Inc. (The) Common Stock","302413536063","1875485625.9219997"
"50","IREN","IREN Limited Ordinary Shares","17606540393","1870330036.67025"
"51","BAC","Bank of America Corporation Common Stock","438305467518","1787051069.6174998"
"52","APP","Applovin Corporation Class A Common Stock","107275724560","1732083788.6815002"
"53","JNJ","Johnson & Johnson Common Stock","663276390852","1721999647.9029999"
"54","CBRS","Cerebras Systems Inc. Class A Common Stock","49900326812","1718807486.9439998"
"55","COIN","Coinbase Global Inc. Class A Common Stock","48714849463","1704955833.46"
"56","SNOW","Snowflake Inc. Common Stock","116866588000","1696059694.5400002"
"57","KLAC","KLA Corporation Common Stock","242495082925","1674031663.766"
"58","COST","Costco Wholesale Corporation Common Stock","406111279975","1645200504.38925"
"59","MA","Mastercard Incorporated Common Stock","507393717347","1628239625.1380002"
"60","MRK","Merck & Company Inc. Common Stock (new)","370889912341","1609797002.6309998"
"61","CVX","Chevron Corporation Common Stock","412145887756","1593378307.3495002"
"62","UNH","UnitedHealth Group Incorporated Common Stock (DE)","356470817538","1587187781.0775003"
"63","BABA","Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share","274322316678","1563858443.4090002"
"64","QCOM","QUALCOMM Incorporated Common Stock","177216471830","1502841997.8714998"
"65","TXN","Texas Instruments Incorporated Common Stock","236019731970","1491366907.2660003"
"66","INTU","Intuit Inc. Common Stock","91005759900","1406998832.618"
"67","GLW","Corning Incorporated Common Stock","132912219473","1366812956.5164998"
"68","AAOI","Applied Optoelectronics Inc. Common Stock","8960160678","1352122179.9690003"
"69","ADI","Analog Devices Inc. Common Stock","175533839696","1330047849.0340002"
"70","CRDO","Credo Technology Group Holding Ltd Ordinary Shares","32058958653","1315168890.432"
"71","PG","Procter & Gamble Company (The) Common Stock","340389977306","1300789806.2685"
"72","RKLB","Rocket Lab Corporation Common Stock","38457022828","1297223764.0350003"
"73","CRCL","Circle Internet Group Inc. Class A Common Stock","25908033656","1268818670.1425"
"74","KO","Coca-Cola Company (The) Common Stock","378925511831","1262022790.5540001"
"75","UBER","Uber Technologies Inc. Common Stock","154744354767","1261967369.9965005"
"76","HD","Home Depot Inc. (The) Common Stock","320308254427","1249468461.3025"
"77","GE","GE Aerospace Common Stock","349783074383","1237146033.7610002"
"78","ADBE","Adobe Inc. Common Stock","105937725000","1161215097.531"
"79","IBM","International Business Machines Corporation Common Stock","221297946867","1152576559.0805"
"80","ANET","Arista Networks Inc. Common Stock","244400112289","1144525213.6385"
"81","C","Citigroup Inc. Common Stock","231016593755","1138642219.0220003"
"82","NET","Cloudflare Inc. Class A Common Stock","99317754108","1138356988.0625"
"83","MCD","McDonald's Corporation Common Stock","180936863061","1132540628.6580002"
"84","RDDT","Reddit Inc. Class A Common Stock","29717564935","1130837318.5535002"
"85","HPE","Hewlett Packard Enterprise Company Common Stock","68858583092","1116688550.9615"
"86","NKE","Nike Inc. Common Stock","56966350195","1108356967.872"
"87","ABBV","AbbVie Inc. Common Stock","453194898911","1102058267.6430001"
"88","PATH","UiPath Inc. Class A Common Stock","7870246841","1101759257.26"
"89","VRT","Vertiv Holdings LLC Class A Common Stock","108000732172","1082881988.3825002"
"90","WFC","Wells Fargo & Company Common Stock","272069220260","1074419238.0535"
"91","NU","Nu Holdings Ltd. Class A Ordinary Shares","74631703724","1063615707.1205002"
"92","DDOG","Datadog Inc. Class A Common Stock","76457844860","1061040408.6189998"
"93","ABNB","Airbnb Inc. Class A Common Stock","108943066983","1060611025.7589996"
"94","BA","Boeing Company (The) Common Stock","167756036745","1059830410.1915003"
"95","SHOP","Shopify Inc. Class A Subordinate Voting Shares","188009221617","1052616749.011"
"96","NEM","Newmont Corporation","134967442992","1042559009.8625"
"97","TJX","TJX Companies Inc. (The) Common Stock","145284573977","1039269735.1385"
"98","FCX","Freeport-McMoRan Inc. Common Stock","104441554448","1038606382.8375"
"99","BKNG","Booking Holdings Inc. Common Stock","145234336845","1008376268.9990002"
"100","TMO","Thermo Fisher Scientific Inc Common Stock","226943489201","1000429989.0265001"
"101","PFE","Pfizer Inc. Common Stock","162155713607","991577416.1794999"
"102","WDAY","Workday Inc. Class A Common Stock","47185390000","983982373.8449999"
"103","ALAB","Astera Labs Inc. Common Stock","53849776282","975661510.3315003"
"104","AMGN","Amgen Inc. Common Stock","236380531546","966986398.6125"
"105","BMNR","BitMine Immersion Technologies Inc. Common Stock","15062563058","953261065.2080002"
"106","BSX","Boston Scientific Corporation Common Stock","69273171343","932086389.9140002"
"107","DASH","DoorDash Inc. Class A Common Stock","91742172201","930439457.2739999"
"108","ARM","Arm Holdings plc American Depositary Shares","268237688477","927097983.832"
"109","MPC","Marathon Petroleum Corporation Common Stock","109212750331","918782871.0855"
"110","ACN","Accenture plc Class A Ordinary Shares (Ireland)","124637506411","913336072.4350001"
"111","PEP","PepsiCo Inc. Common Stock","187850025128","908146842.9550002"
"112","APH","Amphenol Corporation Common Stock","102066370570","908067594.5870001"
"113","TER","Teradyne Inc. Common Stock","55818337973","907969083.4685001"
"114","LIN","Linde plc Ordinary Shares","220150296444","906740834.6837498"
"115","CIEN","Ciena Corporation Common Stock","45438487962","894553339.0675001"
"116","TEAM","Atlassian Corporation Class A Common Stock","47990056548","889373651.5019999"
"117","ISRG","Intuitive Surgical Inc. Common Stock","129547056535","886436702.6815001"
"118","RTX","RTX Corporation Common Stock","270616357734","877600024.2440001"
"119","SPOT","Spotify Technology S.A. Ordinary Shares","111649737621","874602775.6130002"
"120","COP","ConocoPhillips Common Stock","161291569931","869591082.47"
"121","NEE","NextEra Energy Inc. Common Stock","174033161977","865835686.7939999"
